baseline,used_by_paper_count,publication_or_release_date,corresponding_work,source_url,note
A-Mem,17,2025-02-17,A-MEM: Agentic Memory for LLM Agents,https://arxiv.org/abs/2502.12110,arXiv v1 submitted date; NeurIPS 2025 paper.
Mem0,14,2025-04-28,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,https://arxiv.org/abs/2504.19413,arXiv submission date.
Full Context / LoCoMo,12,2024-02-27,Evaluating Very Long-Term Conversational Memory of LLM Agents / LoCoMo,https://arxiv.org/abs/2402.17753,Full-context is a control baseline; date attached to the LoCoMo benchmark paper.
MemoryBank,11,2023-05-17,MemoryBank: Enhancing Large Language Models with Long-Term Memory,https://arxiv.org/abs/2305.10250,arXiv v1 submitted date.
ReadAgent,10,2024-02-15,A Human-Inspired Reading Agent with Gist Memory of Very Long Contexts,https://arxiv.org/abs/2402.09727,arXiv v1 submitted date.
MemoryOS,8,2025-05-30,Memory OS of AI Agent,https://arxiv.org/abs/2506.06326,arXiv submission date; distinct from MemOS.
LightMem,7,2025-10-21,LightMem: Lightweight and Efficient Memory-Augmented Generation,https://arxiv.org/abs/2510.18866,Baseline LightMem usually refers to this ICLR 2026 paper; do not confuse with 2604.07798.
MemGPT,6,2023-10-12,MemGPT: Towards LLMs as Operating Systems,https://arxiv.org/abs/2310.08560,arXiv v1 submitted date.
LangMem,4,2025-02-18,LangMem SDK for agent long-term memory,https://www.langchain.com/blog/langmem-sdk-launch,SDK/blog release rather than a formal paper.
RAG / Naive RAG,4,2020-05-22,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,https://arxiv.org/abs/2005.11401,Naive RAG variants are implementation baselines; date attached to the foundational RAG paper.
SimpleMem,3,2026-01-05,SimpleMem: Efficient Lifelong Memory for LLM Agents,https://arxiv.org/abs/2601.02553,arXiv v1 submitted date.
HippoRAG 2,2,2025-02-20,From RAG to Memory: Non-Parametric Continual Learning for Large Language Models,https://arxiv.org/abs/2502.14802,HippoRAG 2 paper arXiv date.
Chain-of-Notes,1,2023-11-15,Chain-of-Note: Enhancing Robustness in Retrieval-Augmented Language Models,https://arxiv.org/abs/2311.09210,Usually abbreviated CoN/Chain-of-Note.
GAM,1,2026-04-14,GAM: Hierarchical Graph-based Agentic Memory for LLM Agents,https://arxiv.org/abs/2604.12285,arXiv submission date.
Graphiti,1,2025-01-20,Zep: A Temporal Knowledge Graph Architecture for Agent Memory,https://arxiv.org/abs/2501.13956,Graphiti is the core temporal KG engine in Zep; date attached to the Zep paper.
MemOS,1,2025-07-04,MemOS: A Memory OS for AI System,https://arxiv.org/abs/2507.03724,arXiv submission date; distinct from MemoryOS.
MIRIX,1,2025-07-10,MIRIX: Multi-Agent Memory System for LLM-Based Agents,https://arxiv.org/abs/2507.07957,arXiv submission date.
Naive baseline,1,N/A,Internal naive baseline,,????? baseline???? Omni-SimpleMem ????
Nemori,1,2025-08-05,Nemori: Self-Organizing Agent Memory Inspired by Cognitive Science,https://arxiv.org/abs/2508.03341,arXiv submission date.
No Memory,1,N/A,No-memory control baseline,,?????????
NV-Embed-v2,1,2024-05-27,NV-Embed: Improved Techniques for Training LLMs as Generalist Embedding Models,https://arxiv.org/abs/2405.17428,Paper date; v2 model result appears in the NV-Embed series/model card.
Qwen3-Embed-8B,1,2025-06-05,Qwen3 Embedding: Advancing Text Embedding and Reranking Through Foundation Models,https://arxiv.org/abs/2506.05176,Model/paper date; baseline uses Qwen3-Embedding-8B model.
SeCom,1,2025-02-08,On Memory Construction and Retrieval for Personalized Conversational Agents,https://arxiv.org/abs/2502.05589,Paper introducing SeCom.
Single-pass,1,N/A,Internal single-pass retrieval baseline,,????? baseline???? EviMem ????
