status,model,dataset,language,method,expected_cat14_qa,prediction_count,f1,bleu1,rouge_l,bertscore_f1,judge_score,judge_correct,judge_acceptable,reason,metrics_path,judge_path
complete,qwen3_8b,jlongchat,ja,higmem,200,200,0.5923231964408158,0.5244643599025383,0.5506357364983521,0.9009273993968964,0.695,0.695,0.695,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/higmem/higmem_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/higmem/higmem_judge_metrics_cat1_4.json
complete,qwen3_8b,jlongchat,ja,full_context,200,200,0.5749721279505134,0.4796627246347654,0.5327072748498177,0.8982575193047524,0.685,0.685,0.685,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/full_context_fixed/full_context/full_context_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/full_context_fixed/full_context/full_context_judge_metrics_cat1_4.json
complete,qwen3_8b,jlongchat,ja,amem,200,200,0.5711946910418636,0.4804354269263318,0.5333740171766957,0.8997986233234405,0.675,0.675,0.675,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/amem_official/official_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/amem_official/official_judge_metrics_cat1_4.json
complete,qwen3_8b,opela,ko,higmem,200,200,0.5645210773019641,0.527306106000439,0.5442747352472019,0.9102781388163567,0.685,0.685,0.685,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/higmem/higmem_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/higmem/higmem_judge_metrics_cat1_4.json
complete,qwen3_8b,opela,ko,full_context,200,200,0.5644641145689502,0.5224506466872585,0.5507401797837578,0.9022365751862526,0.665,0.665,0.665,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/full_context_fixed/full_context/full_context_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/full_context_fixed/full_context/full_context_judge_metrics_cat1_4.json
complete,qwen3_8b,del1l2im,de,amem,180,180,0.5610265059259741,0.5192164995547031,0.5552261473423853,0.9032158563534419,0.6555555555555556,0.6555555555555556,0.6555555555555556,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/amem_official/official_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/amem_official/official_judge_metrics_cat1_4.json
complete,qwen3_8b,del1l2im,de,higmem,180,180,0.5485157791588523,0.5095536209144021,0.5420129892972075,0.9031853364573584,0.6666666666666666,0.6666666666666666,0.6666666666666666,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/higmem/higmem_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/higmem/higmem_judge_metrics_cat1_4.json
complete,qwen3_8b,del1l2im,de,full_context,180,180,0.528738003292698,0.49069684962819954,0.5185849854912623,0.8959809051619636,0.6666666666666666,0.6666666666666666,0.6666666666666666,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/full_context_fixed/full_context/full_context_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/full_context_fixed/full_context/full_context_judge_metrics_cat1_4.json
complete,qwen3_8b,del1l2im,de,memgas,180,180,0.5259894488070169,0.4705202502008297,0.5185477128121322,0.8962149961127175,0.6055555555555555,0.6055555555555555,0.6055555555555555,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/memgas/normalized_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/del1l2im/memgas/normalized_judge_metrics_cat1_4.json
complete,qwen3_8b,opela,ko,amem,200,200,0.5250065484447356,0.4749455523579718,0.511952858960182,0.9067989358305931,0.705,0.705,0.705,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/amem_official/official_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/opela/amem_official/official_judge_metrics_cat1_4.json
complete,qwen3_8b,jlongchat,ja,memgas,200,200,0.4568130187226338,0.3259461372858188,0.41767171996656843,0.8803183817863465,0.62,0.62,0.62,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/memgas/normalized_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/memgas/normalized_judge_metrics_cat1_4.json
complete,qwen3_8b,jlongchat,ja,mem0,200,200,0.4435245486309874,0.3205584928446162,0.39707850068790523,0.8721539163589478,0.535,0.535,0.535,,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/mem0_fixed/mem0/mem0_metrics_cat1_4.json,/home/stu0032/paper/runs/multilingual_locomo_style_repaired_48/20260513_123300/qwen3_8b/jlongchat/mem0_fixed/mem0/mem0_judge_metrics_cat1_4.json
