paper_id,title,date,source,paper_url,code_url,pdf_file,metric_note,reproducibility_note
2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,2026-01-05,arXiv,https://arxiv.org/abs/2601.02553,https://github.com/aiming-lab/SimpleMem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2601.02553_SimpleMem_Efficient_Lifelong_Memory_for_LLM_Agents.pdf,LoCoMo QA Average F1 / F1-score,??????????? LoCoMo F1 ???
2601.02845,TiMem: Temporal-Hierarchical Memory Consolidation for Long-Horizon Conversational Agents,2026-01-06,arXiv,https://arxiv.org/abs/2601.02845,https://github.com/TiMEM-AI/timem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2601.02845_TiMem_Temporal_Hierarchical_Memory_Consolidation_for_Long_Horizon_Conv.pdf,LoCoMo F1 with LLM-Judge and Rouge-L,?????????????? LoCoMo F1?
2601.03236,MAGMA: A Multi-Graph based Agentic Memory Architecture for AI Agents,2026-01-06,arXiv,https://arxiv.org/abs/2601.03236,https://github.com/FredJiang0324/MAGMA,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2601.03236_MAGMA_A_Multi_Graph_based_Agentic_Memory_Architecture_for_AI_Agents.pdf,LoCoMo token-level F1 / BLEU-1 with judge score,?????????????? LoCoMo F1?
2601.03785,Membox: Weaving Topic Continuity into Long-Range Memory for LLM Agents,2026-01-07,arXiv,https://arxiv.org/abs/2601.03785,https://github.com/nnnoidea/Membox,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2601.03785_Membox_Weaving_Topic_Continuity_into_Long_Range_Memory_for_LLM_Agents.pdf,LoCoMo Average F1 / BLEU,?????????????? LoCoMo F1?
2601.06377,HiMem: Hierarchical Long-Term Memory via Topic-Aware Event-Surprise Dual-Channel Segmentation for LLM Agents,2026-01-10,arXiv,https://arxiv.org/abs/2601.06377,https://github.com/jojopdq/HiMem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2601.06377_HiMem_Hierarchical_Long_Term_Memory_via_Topic_Aware_Event_Surprise_Dua.pdf,LoCoMo F1 score with GPT-score,?????????????? LoCoMo F1?
2601.18204,MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning,2026-01-24,arXiv,https://arxiv.org/abs/2601.18204,https://github.com/Chengkai-Huang/MemWeaver_code,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2601.18204_MemWeaver_Weaving_Hybrid_Memories_for_Traceable_Long_Horizon_Agentic_R.pdf,LoCoMo token-level F1 and BLEU-1,?????????????? repo ????????????? code repo?
2601.21714,E-mem: Multi-Agent Based Episodic Context Reconstruction for LLM Agent Memory,2026-01-30,arXiv,https://arxiv.org/abs/2601.21714,https://github.com/dog-last/E-mem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2601.21714_E_mem_Multi_Agent_Based_Episodic_Context_Reconstruction_for_LLM_Agent_.pdf,LoCoMo F1 / BLEU-1 / LLM-Judge,?????????????? LoCoMo F1?
2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,2026-02-03,arXiv,https://arxiv.org/abs/2602.02474,https://github.com/ViktorAxelsen/MemSkill,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2602.02474_MemSkill_Learning_and_Evolving_Memory_Skills_for_Self_Evolving_Agents.pdf,LoCoMo F1 and LLM-Judge,?????????????? LoCoMo F1?
2602.06025,BudgetMem: Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,2026-02-09,arXiv,https://arxiv.org/abs/2602.06025,https://github.com/ViktorAxelsen/BudgetMem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2602.06025_BudgetMem_Learning_Query_Aware_Budget_Tier_Routing_for_Runtime_Agent_M.pdf,LoCoMo F1 / LLM-Judge / Cost,?????????????? LoCoMo F1?
2602.13530,REMem: A Retrieval-Enhanced Memory Framework for Long-Horizon Conversational Agents,2026-02-18,arXiv / OpenReview ICLR 2026,https://arxiv.org/abs/2602.13530,https://github.com/intuit-ai-research/REMem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2602.13530_REMem_A_Retrieval_Enhanced_Memory_Framework_for_Long_Horizon_Conversat.pdf,LoCoMo token-based F1 / BLEU-1 / LLM-J,???????????? code and data release?
2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,2026-03-04,arXiv,https://arxiv.org/abs/2603.03290,https://github.com/LLM-VLM-GSL/AriadneMem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2603.03290_AriadneMem_Threading_the_Maze_of_Lifelong_Memory_for_LLM_Agents.pdf,LoCoMo average F1 / BLEU-1,?????????????? LoCoMo F1?
2603.14597,D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing,2026-03-17,arXiv,https://arxiv.org/abs/2603.14597,https://github.com/london-and-tequila/dmem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2603.14597_D_MEM_Dopamine_Gated_Agentic_Memory_via_Reward_Prediction_Error_Routin.pdf,LoCoMo F1 / BLEU-1,?????????????? LoCoMo F1?
2603.18718,MemMA: Coordinating the Memory Cycle through Multi-Agent Reasoning and In-Situ Self-Evolution,2026-03-19,arXiv,https://arxiv.org/abs/2603.18718,https://github.com/ventr1c/memma,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2603.18718_MemMA_Coordinating_the_Memory_Cycle_through_Multi_Agent_Reasoning_and_.pdf,LoCoMo F1 / BLEU-1 / ACC,?????????????? LoCoMo F1?
2604.01007,Omni-SimpleMem: Autoresearch-Guided Discovery of Lifelong Multimodal Agent Memory,2026-04-01,arXiv,https://arxiv.org/abs/2604.01007,https://github.com/aiming-lab/SimpleMem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2604.01007_Omni_SimpleMem_Autoresearch_Guided_Discovery_of_Lifelong_Multimodal_Ag.pdf,LoCoMo F1 optimization/evaluation trajectory,??????? SimpleMem/AutoResearchClaw?? LoCoMo F1 ???????? baseline ????
2604.07798,LightMem: Lightweight LLM Agent Memory with Small Language Models,2026-04-09,arXiv,https://arxiv.org/abs/2604.07798,https://github.com/zjunlp/LightMem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2604.07798_LightMem_Lightweight_LLM_Agent_Memory_with_Small_Language_Models.pdf,LoCoMo F1 / BLEU,?????????????? LoCoMo F1?
2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,2026-04-21,arXiv,https://arxiv.org/abs/2604.16839,https://github.com/ReinerBRO/HeLa-Mem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2604.16839_HeLa_Mem_Hebbian_Learning_and_Associative_Memory_for_LLM_Agents.pdf,LoCoMo F1 / BLEU-1,???????????? code available on GitHub ??? LoCoMo F1?
2604.17377,AnchorMem: Anchored Facts with Associative Contexts for Building Memory in Large Language Models,2026-04-21,arXiv,https://arxiv.org/abs/2604.17377,https://github.com/RayNeo-AI-2025/AnchorMem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2604.17377_AnchorMem_Anchored_Facts_with_Associative_Contexts_for_Building_Memory.pdf,LoCoMo benchmark F1 and LLM Judge,?????????????? LoCoMo F1?
2604.18349,HiGMem: A Hierarchical and LLM-Guided Memory System for Long-Term Conversational Agents,2026-04-22,arXiv,https://arxiv.org/abs/2604.18349,https://github.com/ZeroLoss-Lab/HiGMem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2604.18349_HiGMem_A_Hierarchical_and_LLM_Guided_Memory_System_for_Long_Term_Conve.pdf,LoCoMo F1 with LLM-Judge,?????????????? LoCoMo F1?
2604.27695,EviMem: Evidence-Gap-Driven Iterative Retrieval for Long-Term Conversational Memory,2026-04-30,arXiv,https://arxiv.org/abs/2604.27695,https://github.com/AIGeeksGroup/EviMem,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\2604.27695_EviMem_Evidence_Gap_Driven_Iterative_Retrieval_for_Long_Term_Conversat.pdf,LoCoMo G-EVAL supplemented by token-level F1 / ROUGE-L / BERTScore,???????????? token-level F1 ?????
MRAgent-ICLR2026,MRAgent: Memory-Augmented Agents for Long-Horizon Reasoning,2026-01-22,OpenReview / ICLR 2026,https://openreview.net/forum?id=YPoHy6lgKP,https://github.com/Ji-shuo/MRAgent,C:\Users\itsumo\Desktop\paper\locomo_f1_open_reproducible_2026\qualified_papers\pdfs\MRAgent-ICLR2026_MRAgent_Memory_Augmented_Agents_for_Long_Horizon_Reasoning.pdf,LoCoMo F1 and LLM-Judge,????????OpenReview ???? LoCoMo F1?
