status,paper_id,title,reason
included,2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,LoCoMo QA Average F1 / F1-score; ??????????? LoCoMo F1 ???
included,2601.02845,TiMem: Temporal-Hierarchical Memory Consolidation for Long-Horizon Conversational Agents,LoCoMo F1 with LLM-Judge and Rouge-L; ?????????????? LoCoMo F1?
included,2601.03236,MAGMA: A Multi-Graph based Agentic Memory Architecture for AI Agents,LoCoMo token-level F1 / BLEU-1 with judge score; ?????????????? LoCoMo F1?
included,2601.03785,Membox: Weaving Topic Continuity into Long-Range Memory for LLM Agents,LoCoMo Average F1 / BLEU; ?????????????? LoCoMo F1?
included,2601.06377,HiMem: Hierarchical Long-Term Memory via Topic-Aware Event-Surprise Dual-Channel Segmentation for LLM Agents,LoCoMo F1 score with GPT-score; ?????????????? LoCoMo F1?
included,2601.18204,MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning,LoCoMo token-level F1 and BLEU-1; ?????????????? repo ????????????? code repo?
included,2601.21714,E-mem: Multi-Agent Based Episodic Context Reconstruction for LLM Agent Memory,LoCoMo F1 / BLEU-1 / LLM-Judge; ?????????????? LoCoMo F1?
included,2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,LoCoMo F1 and LLM-Judge; ?????????????? LoCoMo F1?
included,2602.06025,BudgetMem: Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,LoCoMo F1 / LLM-Judge / Cost; ?????????????? LoCoMo F1?
included,2602.13530,REMem: A Retrieval-Enhanced Memory Framework for Long-Horizon Conversational Agents,LoCoMo token-based F1 / BLEU-1 / LLM-J; ???????????? code and data release?
included,2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,LoCoMo average F1 / BLEU-1; ?????????????? LoCoMo F1?
included,2603.14597,D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing,LoCoMo F1 / BLEU-1; ?????????????? LoCoMo F1?
included,2603.18718,MemMA: Coordinating the Memory Cycle through Multi-Agent Reasoning and In-Situ Self-Evolution,LoCoMo F1 / BLEU-1 / ACC; ?????????????? LoCoMo F1?
included,2604.01007,Omni-SimpleMem: Autoresearch-Guided Discovery of Lifelong Multimodal Agent Memory,LoCoMo F1 optimization/evaluation trajectory; ??????? SimpleMem/AutoResearchClaw?? LoCoMo F1 ???????? baseline ????
included,2604.07798,LightMem: Lightweight LLM Agent Memory with Small Language Models,LoCoMo F1 / BLEU; ?????????????? LoCoMo F1?
included,2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,LoCoMo F1 / BLEU-1; ???????????? code available on GitHub ??? LoCoMo F1?
included,2604.17377,AnchorMem: Anchored Facts with Associative Contexts for Building Memory in Large Language Models,LoCoMo benchmark F1 and LLM Judge; ?????????????? LoCoMo F1?
included,2604.18349,HiGMem: A Hierarchical and LLM-Guided Memory System for Long-Term Conversational Agents,LoCoMo F1 with LLM-Judge; ?????????????? LoCoMo F1?
included,2604.27695,EviMem: Evidence-Gap-Driven Iterative Retrieval for Long-Term Conversational Memory,LoCoMo G-EVAL supplemented by token-level F1 / ROUGE-L / BERTScore; ???????????? token-level F1 ?????
included,MRAgent-ICLR2026,MRAgent: Memory-Augmented Agents for Long-Horizon Reasoning,LoCoMo F1 and LLM-Judge; ????????OpenReview ???? LoCoMo F1?
included,KeyMem-aiXiv-260326,KeyMem: Graph-Augmented Vector Retrieval for Persistent Conversational Memory in LLM Agents,LoCoMo-10 Overall F1; ?????????????? LoCoMo-10 F1?
excluded_or_borderline,2605.00356,MemRouter: Synergizing Memory Retrieval and Reasoning for Long-Term Conversational Agents,?? LoCoMo token-level F1??????? GitHub ????????????????????????
excluded_or_borderline,2604.23878,ZenBrain: A Neuroscience-Inspired 7-Layer Memory Architecture for Autonomous AI Systems,??????? LoCoMo ?? F1??? F1 ????? retrieval/ablation ???????? LoCoMo QA token-F1 ????
excluded_or_borderline,2603.04549,A-MAC: Adaptive Memory Admission Control for Memory-Augmented LLM Agents,??????? F1 ? memory-admission precision/recall ? F1??? LoCoMo QA ?? F1?
excluded_or_borderline,2604.12285,GAM: Graph-based Adaptive Memory for LLM Agents,?? LoCoMo F1????????????????????
excluded_or_borderline,2602.13967,Neuromem: A Co-evolving Agent Memory with Human-like Consolidation and Association,?? token-level F1???? repo/????????????????
excluded_or_borderline,2603.29194,A General Framework for Evaluating Multi-Layered Memory Architectures,?? LoCoMo F1??????????
excluded_or_borderline,2604.01560,DeltaMem: Reinforcement Learning for Optimizing Long-Term Memory in LLM Agents,?? LoCoMo F1?????????? verl ?????? DeltaMem ??????????
excluded_or_borderline,2602.07624,M2A: Memory-Augmented Multi-Modal Agent for Long-Horizon Video Understanding,????????????/??? LoCoMo ? LLM Judge ????? LoCoMo F1 ???
excluded_or_borderline,2604.04853,MemMachine: Reviving Your Companion AI with Persistent Memory,??????? LoCoMo ??????? QA token-level F1?
excluded_or_borderline,2604.11563,Synthius-Mem: A Persistent Multi-Layered Memory Architecture,???????????????????? LoCoMo F1?
excluded_or_borderline,2604.06845,HingeMem: A Constant-Size Multi-Granularity Memory for LLM Agents,?? LoCoMo F1??????????????? baseline ?????
excluded_or_borderline,2604.08256,HyperMem: Scalable Memory Management for LLM Agents,?? LoCoMo F1??????????
excluded_or_borderline,2604.08216,MemCoT: Enhancing Memory-Driven Reasoning in LLM Agents,?? LoCoMo F1??????????
excluded_or_borderline,2604.07877,MemReader: Large Language Model Agents with Long-Term Memory,?? LoCoMo F1??????????
