paper_id,paper_title,baseline_count,baselines
2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,8,No Memory; Chain-of-Notes; ReadAgent; MemoryBank; A-Mem; Mem0; LangMem; MemoryOS
2603.03290,AriadneMem: Threading the Maze of Lifelong Memory for LLM Agents,8,Full Context / LoCoMo; ReadAgent; MemoryBank; MemGPT; A-Mem; LightMem; Mem0; SimpleMem
2604.16839,HeLa-Mem: Hebbian Learning and Associative Memory for LLM Agents,8,Full Context / LoCoMo; ReadAgent; MemoryBank; MemGPT; A-Mem; Mem0; LightMem; MemoryOS
2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,7,Full Context / LoCoMo; ReadAgent; MemoryBank; MemGPT; A-Mem; LightMem; Mem0
2601.21714,E-mem: Multi-Agent Based Episodic Context Reconstruction for LLM Agent Memory,7,Full Context / LoCoMo; RAG / Naive RAG; A-Mem; Mem0; MemoryOS; LightMem; GAM
2602.06025,BudgetMem: Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory,7,ReadAgent; MemoryBank; A-Mem; LangMem; Mem0; MemoryOS; LightMem
2601.03785,Membox: Weaving Topic Continuity into Long-Range Memory for LLM Agents,6,Full Context / LoCoMo; ReadAgent; MemoryBank; MemGPT; A-Mem; Mem0
2602.13530,REMem: A Retrieval-Enhanced Memory Framework for Long-Horizon Conversational Agents,6,Full Context / LoCoMo; Qwen3-Embed-8B; NV-Embed-v2; Mem0; Graphiti; HippoRAG 2
2603.18718,MemMA: Coordinating the Memory Cycle through Multi-Agent Reasoning and In-Situ Self-Evolution,6,Full Context / LoCoMo; RAG / Naive RAG; LangMem; Mem0; A-Mem; LightMem
2604.17377,AnchorMem: Anchored Facts with Associative Contexts for Building Memory in Large Language Models,6,RAG / Naive RAG; HippoRAG 2; Mem0; A-Mem; MemoryOS; LightMem
2601.02845,TiMem: Temporal-Hierarchical Memory Consolidation for Long-Horizon Conversational Agents,5,MemoryBank; Mem0; A-Mem; MemoryOS; MemOS
2603.14597,D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing,5,Full Context / LoCoMo; ReadAgent; MemoryBank; MemGPT; A-Mem
2604.07798,LightMem: Lightweight LLM Agent Memory with Small Language Models,5,Full Context / LoCoMo; ReadAgent; MemoryBank; MemGPT; A-Mem
MRAgent-ICLR2026,MRAgent: Memory-Augmented Agents for Long-Horizon Reasoning,5,RAG / Naive RAG; LangMem; A-Mem; MemoryOS; Mem0
2601.03236,MAGMA: A Multi-Graph based Agentic Memory Architecture for AI Agents,4,Full Context / LoCoMo; A-Mem; Nemori; MemoryOS
2601.18204,MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning,4,Full Context / LoCoMo; MemoryBank; ReadAgent; A-Mem
2604.18349,HiGMem: A Hierarchical and LLM-Guided Memory System for Long-Term Conversational Agents,4,ReadAgent; MemoryBank; A-Mem; Full Context / LoCoMo
2601.06377,HiMem: Hierarchical Long-Term Memory via Topic-Aware Event-Surprise Dual-Channel Segmentation for LLM Agents,3,Mem0; SeCom; A-Mem
2604.01007,Omni-SimpleMem: Autoresearch-Guided Discovery of Lifelong Multimodal Agent Memory,2,Naive baseline; SimpleMem
2604.27695,EviMem: Evidence-Gap-Driven Iterative Retrieval for Long-Term Conversational Memory,2,Single-pass; MIRIX
KeyMem-aiXiv-260326,KeyMem: Graph-Augmented Vector Retrieval for Persistent Conversational Memory in LLM Agents,2,Mem0; SimpleMem
