paper_id,paper_title,baseline,baseline_type
2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,Full Context / LoCoMo,control_or_internal
2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,ReadAgent,external
2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,MemoryBank,external
2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,MemGPT,external
2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,A-Mem,external
2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,LightMem,external
2601.02553,SimpleMem: Efficient Lifelong Memory for LLM Agents,Mem0,external
2601.02845,TiMem: Temporal-Hierarchical Memory Consolidation for Long-Horizon Conversational Agents,MemoryBank,external
2601.02845,TiMem: Temporal-Hierarchical Memory Consolidation for Long-Horizon Conversational Agents,Mem0,external
2601.02845,TiMem: Temporal-Hierarchical Memory Consolidation for Long-Horizon Conversational Agents,A-Mem,external
2601.02845,TiMem: Temporal-Hierarchical Memory Consolidation for Long-Horizon Conversational Agents,MemoryOS,external
2601.02845,TiMem: Temporal-Hierarchical Memory Consolidation for Long-Horizon Conversational Agents,MemOS,external
2601.03236,MAGMA: A Multi-Graph based Agentic Memory Architecture for AI Agents,Full Context / LoCoMo,control_or_internal
2601.03236,MAGMA: A Multi-Graph based Agentic Memory Architecture for AI Agents,A-Mem,external
2601.03236,MAGMA: A Multi-Graph based Agentic Memory Architecture for AI Agents,Nemori,external
2601.03236,MAGMA: A Multi-Graph based Agentic Memory Architecture for AI Agents,MemoryOS,external
2601.03785,Membox: Weaving Topic Continuity into Long-Range Memory for LLM Agents,Full Context / LoCoMo,control_or_internal
2601.03785,Membox: Weaving Topic Continuity into Long-Range Memory for LLM Agents,ReadAgent,external
2601.03785,Membox: Weaving Topic Continuity into Long-Range Memory for LLM Agents,MemoryBank,external
2601.03785,Membox: Weaving Topic Continuity into Long-Range Memory for LLM Agents,MemGPT,external
2601.03785,Membox: Weaving Topic Continuity into Long-Range Memory for LLM Agents,A-Mem,external
2601.03785,Membox: Weaving Topic Continuity into Long-Range Memory for LLM Agents,Mem0,external
2601.06377,HiMem: Hierarchical Long-Term Memory via Topic-Aware Event-Surprise Dual-Channel Segmentation for LLM Agents,Mem0,external
2601.06377,HiMem: Hierarchical Long-Term Memory via Topic-Aware Event-Surprise Dual-Channel Segmentation for LLM Agents,SeCom,external
2601.06377,HiMem: Hierarchical Long-Term Memory via Topic-Aware Event-Surprise Dual-Channel Segmentation for LLM Agents,A-Mem,external
2601.18204,MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning,Full Context / LoCoMo,control_or_internal
2601.18204,MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning,MemoryBank,external
2601.18204,MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning,ReadAgent,external
2601.18204,MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning,A-Mem,external
2601.21714,E-mem: Multi-Agent Based Episodic Context Reconstruction for LLM Agent Memory,Full Context / LoCoMo,control_or_internal
2601.21714,E-mem: Multi-Agent Based Episodic Context Reconstruction for LLM Agent Memory,RAG / Naive RAG,external
2601.21714,E-mem: Multi-Agent Based Episodic Context Reconstruction for LLM Agent Memory,A-Mem,external
2601.21714,E-mem: Multi-Agent Based Episodic Context Reconstruction for LLM Agent Memory,Mem0,external
2601.21714,E-mem: Multi-Agent Based Episodic Context Reconstruction for LLM Agent Memory,MemoryOS,external
2601.21714,E-mem: Multi-Agent Based Episodic Context Reconstruction for LLM Agent Memory,LightMem,external
2601.21714,E-mem: Multi-Agent Based Episodic Context Reconstruction for LLM Agent Memory,GAM,external
2602.02474,MemSkill: Learning and Evolving Memory Skills for Self-Evolving Agents,No Memory,control_or_internal
